,0,1,2
0,11,158,0
1,12,160,0
2,14,156,0
3,15,156,0
4,16,160,0
5,17,161,0
6,18,155,0
7,19,151,0
8,19,158,0
9,20,152,0
10,20,166,0
11,21,166,0
12,23,150,0
13,24,148,0
14,24,172,0
15,26,172,0
16,27,172,0
17,28,145,0
18,28,180,0
19,29,180,0
20,31,142,0
21,32,142,0
22,33,141,0
23,34,177,0
24,35,180,0
25,36,317,0
26,38,138,0
27,39,181,0
28,39,312,0
29,40,137,0
30,40,317,0
31,41,303,0
32,42,183,0
33,42,302,0
34,43,135,0
35,43,299,0
36,43,316,0
37,44,209,0
38,44,315,0
39,45,187,0
40,45,304,0
41,46,184,0
42,46,301,0
43,47,187,0
44,48,133,0
45,48,296,0
46,49,188,0
47,49,314,0
48,50,189,0
49,50,294,0
50,51,210,0
51,52,187,0
52,52,313,0
53,53,289,0
54,54,187,0
55,54,313,0
56,55,208,0
57,56,131,0
58,56,208,0
59,56,312,0
60,57,188,0
61,57,312,0
62,58,189,0
63,58,312,0
64,59,173,0
65,59,283,0
66,60,131,0
67,60,208,0
68,60,323,0
69,61,208,0
70,62,130,0
71,62,208,0
72,62,320,0
73,63,191,0
74,63,319,0
75,64,191,0
76,64,318,0
77,65,192,0
78,65,311,0
79,66,180,0
80,66,277,0
81,67,138,0
82,67,276,0
83,68,130,0
84,68,275,0
85,69,130,0
86,69,172,0
87,69,208,0
88,70,130,0
89,70,177,0
90,70,208,0
91,71,139,0
92,71,173,0
93,71,199,0
94,71,309,0
95,72,188,0
96,72,210,0
97,73,139,0
98,73,179,0
99,73,210,0
100,74,139,0
101,74,176,0
102,74,197,0
103,74,266,0
104,75,139,0
105,75,173,0
106,75,188,0
107,75,208,0
108,75,264,0
109,76,129,0
110,76,175,0
111,76,188,0
112,76,224,0
113,76,268,0
114,77,167,0
115,77,181,0
116,77,205,0
117,77,261,0
118,78,166,0
119,78,176,0
120,78,188,0
121,78,202,0
122,78,233,0
123,78,307,0
124,79,170,0
125,79,183,0
126,79,199,0
127,79,211,0
128,79,260,0
129,80,129,0
130,80,176,0
131,80,189,0
132,80,203,0
133,80,215,0
134,80,227,0
135,80,259,0
136,81,128,0
137,81,165,0
138,81,177,0
139,81,187,0
140,81,204,0
141,81,213,0
142,81,226,0
143,81,237,0
144,81,254,0
145,81,262,0
146,82,127,0
147,82,167,0
148,82,176,0
149,82,183,0
150,82,200,0
151,82,217,0
152,82,226,0
153,82,239,0
154,82,249,0
155,82,261,0
156,83,142,0
157,83,178,0
158,83,189,0
159,83,211,0
160,83,221,0
161,83,232,0
162,83,245,0
163,83,307,0
164,84,169,0
165,84,183,0
166,84,202,0
167,84,218,0
168,84,229,0
169,84,236,0
170,84,245,0
171,84,254,0
172,85,127,0
173,85,177,0
174,85,187,0
175,85,206,0
176,85,235,0
177,85,248,0
178,85,256,0
179,85,307,0
180,86,163,0
181,86,177,0
182,86,188,0
183,86,206,0
184,86,248,0
185,87,127,0
186,87,160,0
187,87,174,0
188,87,184,0
189,87,192,0
190,87,208,0
191,87,240,0
192,87,250,0
193,87,307,0
194,88,167,0
195,88,179,0
196,88,192,0
197,88,245,0
198,88,254,0
199,88,262,0
200,89,165,0
201,89,184,0
202,89,196,0
203,89,248,0
204,89,262,0
205,90,130,0
206,90,169,0
207,90,184,0
208,90,245,0
209,90,251,0
210,90,262,0
211,91,131,0
212,91,161,0
213,91,175,0
214,91,186,0
215,91,248,0
216,92,125,0
217,92,163,0
218,92,172,0
219,92,180,0
220,92,190,0
221,92,254,0
222,93,126,0
223,93,162,0
224,93,174,0
225,93,187,0
226,93,254,0
227,94,140,0
228,94,168,0
229,94,182,0
230,94,200,0
231,95,133,0
232,95,172,0
233,95,180,0
234,95,200,0
235,96,124,0
