x,y,class
17,297,0
18,294,0
18,299,0
19,293,0
19,301,0
20,297,0
21,289,0
21,295,0
21,301,0
22,293,0
22,301,0
23,293,0
24,286,0
24,300,0
25,296,0
26,283,0
26,295,0
27,283,0
27,299,0
28,297,0
29,281,0
30,280,0
31,278,0
31,296,0
32,294,0
33,277,0
34,275,0
34,293,0
35,275,0
36,272,0
36,291,0
37,289,0
38,271,0
39,270,0
39,289,0
40,286,0
41,268,0
42,265,0
42,284,0
43,265,0
44,263,0
44,283,0
45,263,0
46,260,0
46,281,0
47,279,0
48,258,0
48,278,0
49,256,0
49,277,0
50,275,0
51,253,0
51,275,0
52,252,0
52,274,0
53,271,0
54,248,0
54,271,0
55,247,0
55,270,0
56,245,0
57,242,0
57,266,0
58,241,0
58,265,0
59,240,0
59,264,0
60,238,0
61,235,0
61,260,0
62,234,0
62,258,0
63,232,0
63,257,0
64,231,0
64,256,0
65,229,0
65,254,0
66,227,0
66,252,0
67,225,0
68,221,0
68,247,0
69,219,0
69,245,0
70,61,0
70,64,0
70,217,0
70,243,0
71,61,0
71,215,0
71,243,0
72,69,0
72,213,0
72,241,0
73,64,0
73,72,0
73,211,0
73,239,0
74,62,0
74,73,0
74,209,0
74,238,0
75,66,0
75,74,0
75,168,0
75,171,0
75,174,0
75,177,0
75,180,0
75,183,0
75,186,0
75,206,0
75,235,0
76,66,0
76,72,0
76,78,0
76,160,0
76,163,0
76,166,0
76,189,0
76,192,0
76,195,0
76,202,0
76,232,0
77,63,0
77,72,0
77,81,0
77,84,0
77,155,0
77,158,0
77,200,0
77,232,0
78,74,0
78,86,0
78,150,0
78,229,0
79,65,0
79,78,0
79,145,0
79,148,0
79,229,0
80,90,0
80,143,0
80,226,0
81,65,0
81,140,0
81,224,0
82,64,0
82,137,0
82,221,0
83,63,0
83,134,0
83,219,0
84,62,0
84,95,0
84,217,0
85,61,0
85,96,0
85,132,0
86,61,0
86,128,0
86,216,0
87,97,0
87,127,0
87,217,0
88,99,0
88,126,0
89,60,0
89,123,0
89,219,0
90,99,0
90,119,0
90,220,0
91,101,0
91,117,0
91,222,0
92,103,0
92,113,0
92,222,0
93,105,0
93,108,0
93,111,0
94,58,0
95,58,0
96,225,0
98,58,0
99,226,0
101,57,0
102,227,0
104,56,0
105,228,0
106,228,0
108,57,0
109,58,0
109,229,0
110,62,0
111,63,0
111,72,0
111,76,0
112,66,0
112,69,0
112,77,0
112,231,0
114,78,0
115,78,0
116,232,0
117,233,0
118,234,0
119,235,0
120,236,0
121,237,0
122,172,0
122,175,0
122,178,0
122,181,0
122,184,0
122,237,0
123,165,0
123,168,0
123,187,0
123,238,0
124,161,0
124,164,0
124,191,0
125,157,0
125,160,0
125,239,0
126,153,0
126,156,0
126,194,0
127,81,0
127,151,0
127,195,0
128,81,0
128,147,0
128,196,0
128,243,0
129,143,0
129,198,0
129,244,0
130,140,0
130,200,0
130,245,0
131,138,0
131,202,0
132,81,0
132,204,0
132,246,0
133,134,0
133,206,0
133,246,0
134,80,0
134,209,0
134,212,0
135,76,0
135,79,0
135,213,0
135,216,0
136,74,0
136,217,0
136,249,0
137,73,0
137,219,0
137,250,0
138,70,0
138,79,0
138,220,0
138,251,0
139,67,0
139,76,0
139,221,0
140,64,0
140,73,0
140,251,0
141,61,0
141,70,0
141,100,0
141,129,0
141,253,0
142,59,0
142,68,0
142,102,0
142,253,0
143,56,0
143,65,0
143,99,0
143,127,0
143,253,0
144,52,0
144,61,0
144,97,0
144,127,0
144,255,0
145,57,0
145,95,0
145,104,0
145,232,0
145,255,0
146,48,0
146,93,0
146,104,0
146,222,0
146,236,0
146,256,0
147,45,0
147,54,0
147,105,0
147,222,0
147,239,0
148,41,0
148,49,0
148,52,0
148,90,0
148,125,0
148,239,0
148,257,0
149,47,0
149,84,0
149,87,0
149,221,0
149,242,0
149,258,0
150,45,0
150,80,0
150,107,0
150,221,0
150,244,0
151,43,0
151,70,0
151,73,0
151,76,0
151,125,0
151,244,0
151,258,0
152,43,0
152,58,0
152,61,0
152,64,0
152,67,0
152,221,0
152,247,0
153,40,0
153,55,0
153,221,0
153,248,0
154,43,0
154,53,0
154,124,0
154,248,0
154,261,0
155,44,0
155,47,0
155,53,0
155,220,0
155,249,0
156,41,0
156,51,0
156,220,0
156,250,0
156,262,0
157,49,0
157,123,0
157,251,0
157,262,0
158,44,0
158,47,0
158,123,0
158,228,0
158,259,0
159,122,0
159,227,0
159,263,0
160,221,0
160,224,0
160,253,0
160,263,0
161,122,0
161,260,0
162,109,0
162,261,0
163,121,0
163,261,0
164,109,0
164,262,0
165,121,0
165,263,0
166,121,0
166,262,0
167,121,0
167,263,0
168,121,0
168,263,0
169,120,0
169,263,0
170,120,0
170,262,0
171,109,0
171,265,0
172,120,0
172,265,0
173,259,0
173,263,0
174,109,0
175,109,0
176,120,0
178,109,0
179,119,0
181,108,0
182,119,0
183,118,0
184,118,0
185,105,0
186,102,0
186,118,0
187,116,0
188,115,0
189,114,0
190,113,0
191,111,0
192,101,0
192,111,0
193,104,0
193,107,0
